period,revenue,operating_expenses,net_income,growth_rate,operating_margin
2023Q1,5000,16000,-11000,,-220.0
2023Q2,6500,17500,-11500,,-169.2
2023Q3,8500,19000,-12000,,-123.5
2023Q4,10000,21000,-13500,,-110.0
2024Q1,11000,22000,-13000,120.0,-100.0
2024Q2,12500,24000,-14200,92.3,-92.0
2024Q3,12300,24500,-13300,44.7,-99.2
2024Q4,16500,27000,-18500,65.0,-63.6
2025Q1,15000,24000,-9000,36.4,-60.0
2025Q2,16000,24500,-8500,28.0,-53.1
2025Q3,17500,25000,-7000,42.3,-42.9
2025Q4,25000,28000,-4000,51.5,-12.0
